Title,Price,Ratings,Category
A Light in the Attic,51.77,3,Main
Tipping the Velvet,53.74,1,Main
Soumission,50.1,1,Main
Sharp Objects,47.82,4,Main
Sapiens: A Brief History of Humankind,54.23,5,Main
The Requiem Red,22.65,1,Main
The Dirty Little Secrets of Getting Your Dream Job,33.34,4,Main
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,Main
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,Main
The Black Maria,52.15,1,Main
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,Main
Shakespeare's Sonnets,20.66,4,Main
Set Me Free,17.46,5,Main
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,Main
Rip it Up and Start Again,35.02,5,Main
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,Main
Olio,23.88,1,Main
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,Main
Libertarianism for Beginners,51.33,2,Main
It's Only the Himalayas,45.17,2,Main
Wall and Piece,44.18,4,Art
Feathers: Displays of Brilliant Plumage,49.05,3,Art
Art and Fear: Observations on the Perils (and Rewards) of Artmaking,48.63,4,Art
The New Drawing on the Right Side of the Brain,43.02,3,Art
History of Beauty,10.29,4,Art
The Story of Art,41.14,4,Art
The Art Book,32.34,2,Art
Ways of Seeing,39.51,5,Art
The Book of Basketball: The NBA According to The Sports Guy,44.84,5,Games
"Friday Night Lights: A Town, a Team, and a Dream",51.22,3,Games
Sugar Rush (Offensive Line #2),24.42,1,Games
Settling the Score (The Summer Games #1),44.91,2,Games
Icing (Aces Hockey #2),40.44,4,Games
The Long Haul (Diary of a Wimpy Kid #9),44.07,1,Humor
Old School (Diary of a Wimpy Kid #10),11.83,5,Humor
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,25.98,4,Humor
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",14.75,5,Humor
Dress Your Family in Corduroy and Denim,43.68,3,Humor
Toddlers Are A**holes: It's Not Your Fault,25.55,1,Humor
When You Are Engulfed in Flames,30.89,5,Humor
Naked,31.69,3,Humor
"Lamb: The Gospel According to Biff, Christ's Childhood Pal",55.5,5,Humor
Holidays on Ice,51.07,2,Humor
Rip it Up and Start Again,35.02,5,Music
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,Music
How Music Works,37.32,2,Music
Love Is a Mix Tape (Music #1),18.03,1,Music
Please Kill Me: The Uncensored Oral History of Punk,31.19,4,Music
Kill 'Em and Leave: Searching for James Brown and the American Soul,45.05,5,Music
"Chronicles, Vol. 1",52.6,2,Music
This Is Your Brain on Music: The Science of a Human Obsession,38.4,1,Music
"Orchestra of Exiles: The Story of Bronislaw Huberman, the Israel Philharmonic, and the One Thousand Jews He Saved from Nazi Horrors",12.36,3,Music
No One Here Gets Out Alive,20.02,5,Music
Life,31.58,5,Music
Old Records Never Die: One Man's Quest for His Vinyl and His Past,55.66,2,Music
Forever Rockers (The Rocker #12),28.8,3,Music
